mettere	0.13388	0.20201	-0.27675	0.14706	-0.15675	-0.47479	-0.27304	0.13736	0.25023	0.39647	-0.03999	0.13075	-0.082722	-0.034803	0.03998	0.23395	0.12252	0.035365	0.31439	-0.281	-0.26755	0.24333	0.066768	-0.1232	-0.061423	0.15154	-0.041863	0.089778	-0.08082	0.23977	0.12276	-0.09604	-0.24217	-0.30502	0.21068	-0.071902	0.23096	-0.23895	-0.34804	0.3462	-0.16916	0.31115	-0.40893	0.19095	0.55466	-0.32601	-0.018505	-0.32618	0.1227	-0.20824	-0.46717	0.019941	-0.61345	0.32147	-0.011022	-0.41177	-0.091833	0.21332	0.262	0.1728	0.13955	0.03204	0.27064	0.024452	0.4516	0.28712	0.24785	0.10371	-0.12075	-0.35676	-0.066368	-0.11113	-0.15898	0.047835	0.1079	0.1708	0.12766	-0.36322	0.035214	-0.001243	0.10632	0.031149	0.1071	0.28612	0.21046	0.18107	0.14677	-0.047036	-0.25195	0.016329	0.24633	0.089793	0.26246	-0.041856	0.04691	0.094796	-0.21479	-0.071159	-0.22027	-0.13121
pensare	0.22328	0.082323	-0.016423	0.057337	0.071008	0.020079	-0.11448	0.36024	0.044265	0.19928	-0.040784	0.35074	0.10136	0.017955	0.066319	0.074352	0.15065	-0.086012	0.20184	-0.14144	0.27062	0.2008	-0.1282	0.054864	-0.0087706	-0.19131	0.49563	-0.00065876	-0.094231	0.25087	-0.10225	0.10197	-0.27406	-0.09491	-0.0038459	0.0072559	0.065873	0.034106	-0.41376	0.091423	-0.090964	0.23658	0.054722	0.37715	0.32797	-0.2389	0.27698	0.026471	-0.036673	0.040552	-0.21925	0.14609	-0.39432	0.19411	-0.22452	-0.43337	-0.27976	0.41286	0.21555	0.23702	0.56151	-0.011965	0.076067	0.34471	0.30197	0.10884	0.045755	0.25402	-0.017007	-0.10451	0.16564	-0.2628	0.14124	-0.021807	0.24663	-0.1745	0.16653	0.033841	-0.055064	-0.16947	-0.061811	0.12666	0.17447	0.19427	0.096837	-0.19964	0.13071	0.055157	-0.15252	-0.092717	0.025541	-0.12815	0.29557	-0.032241	-0.18087	0.0024572	0.05701	0.14468	0.038166	-0.079545
parlare	0.12157	0.29264	-0.25852	0.41798	-0.049089	0.043811	-0.14232	0.080213	0.1322	0.027111	0.035461	0.48728	0.38131	0.16952	0.16284	0.051232	0.081786	0.039841	0.14708	-0.12969	0.29448	0.15522	-0.3318	-0.098739	-0.039054	0.13452	0.48113	0.16604	-0.058978	0.093151	-0.024732	0.30712	-0.013043	-0.17533	-0.021901	-0.096148	-0.1857	0.15323	-0.33161	0.039215	-0.13545	0.29783	-0.12873	0.25255	0.4142	-0.35058	0.17966	0.12356	0.15219	0.079427	0.064411	0.20135	-0.25077	0.34069	-0.3117	-0.38858	-0.18562	0.31346	0.37009	0.070362	0.56332	0.082096	0.18229	0.45679	0.25587	0.12445	0.19558	0.1128	-0.035706	-0.11056	0.23571	-0.11348	0.12196	-0.068849	0.2163	-0.12662	0.16155	-0.033429	0.098735	-0.21276	0.031805	0.081249	0.21676	0.25693	-0.1649	-0.084496	0.040475	0.18936	-0.35856	0.20098	-0.02204	-0.10723	0.29635	-0.20536	0.00073466	-0.078698	0.034052	-0.063668	-0.0022889	-0.097843
scrivere	0.06737	0.45611	-0.52121	0.48653	0.13427	0.097097	0.033238	0.35702	0.29868	-0.23238	0.17481	0.47603	0.16696	-0.28709	0.095794	0.1276	0.18433	-0.15275	0.51847	0.29566	0.2935	0.067218	-0.31417	0.027865	0.15368	-0.14859	0.40961	-0.19234	-0.28168	-0.085117	0.21712	-0.062514	0.27753	-0.026033	-0.33915	0.12099	0.11081	-0.1077	-0.046212	-0.2457	-0.2373	-0.005647	0.035962	-0.034821	0.30573	-0.13389	0.2093	-0.14466	-0.14982	0.2457	-0.11831	0.01551	-0.35147	0.31097	0.01819	-0.57152	-0.073747	0.11668	0.33878	-0.12826	0.58026	0.48558	-0.045817	0.25058	0.5729	0.23573	0.3722	0.20465	-0.44809	0.15641	-0.15811	-0.20809	0.21445	-0.024493	0.20543	-0.237	0.37352	-0.024447	0.17634	0.067246	-0.43801	-0.12563	0.42885	0.20325	0.34845	-0.073565	0.37071	0.079251	-0.063458	-0.096946	-0.046137	-0.012741	0.29746	-0.25664	-0.074443	0.10273	0.024779	-0.037556	-0.07628	0.20573
portare	0.38503	0.37344	0.040612	-0.0032066	-0.1604	-0.13458	-0.21347	0.069672	0.21029	0.06946	-0.080944	0.27939	0.17232	0.10458	-0.11783	0.26006	-0.045064	0.13868	-0.11371	-0.3803	-0.0085969	0.34814	-0.093008	-0.045932	0.08157	-0.13038	-0.028182	0.17524	-0.30451	0.19701	0.17401	0.21506	-0.31294	-0.57126	0.22857	-0.072192	0.023991	-0.32385	-0.1968	0.40025	-0.12856	0.15998	-0.27651	0.12038	0.23932	-0.38117	0.20184	0.033361	-0.25283	-0.14528	-0.61816	0.035269	-0.35096	0.16392	0.00089307	-0.072603	0.028628	0.33928	-0.022369	-0.017163	0.32051	-0.097008	0.285	-0.01073	0.33846	0.053869	-0.088227	0.071708	-0.24627	-0.01144	0.06127	-0.151	0.25125	-0.12433	0.093161	0.10728	0.24027	-0.10718	0.11886	-0.29523	0.17006	0.09728	0.10035	0.36195	0.079111	-0.010548	0.049528	-0.30104	-0.10027	-0.033057	-0.042902	0.14814	0.3891	-0.044353	-0.05457	0.024365	-0.13178	0.26151	-0.11791	-0.068077
prendere	0.14792	0.12842	-0.26267	0.12543	0.011333	-0.28543	0.032171	0.11946	0.34215	0.21807	0.023838	-0.0077062	0.34299	0.015603	0.034539	0.45124	0.33642	0.13185	0.18369	-0.32008	0.12528	0.23968	0.14632	-0.3155	0.18317	-0.0254	0.087633	0.15374	-0.2875	0.00016866	0.244	0.17853	-0.13916	-0.075283	-0.13386	-0.17263	-0.12742	-0.27167	-0.35496	0.3425	-0.18759	0.14135	-0.47046	0.077526	0.54192	-0.14394	0.37613	0.018203	0.11222	-0.15237	-0.53295	-0.11777	-0.37944	0.044538	0.032112	-0.26785	-0.1671	0.23122	-0.054444	-0.08833	0.40117	0.056052	0.21238	-0.078737	0.45781	0.20137	0.37149	0.29656	-0.20657	-0.1929	0.018985	-0.15848	0.069043	-0.15912	-0.086085	0.21544	0.20361	-0.33145	-0.040075	-0.1123	0.00059547	0.038263	0.23856	0.30081	0.1573	-0.12934	0.11172	-0.18572	-0.22675	-0.30185	-0.084651	0.0066604	0.33019	-0.27752	-0.039926	-0.16396	0.12057	0.16545	-0.1404	-0.090188
chiedere	-0.20081	0.36228	-0.38711	0.18258	-0.13532	0.10362	-0.41448	0.27334	0.29249	0.12742	-0.13845	0.12954	0.36055	-0.18852	0.12207	0.17249	0.024174	-0.069928	0.25676	-0.27757	0.28092	0.2864	-0.086829	0.029748	0.21657	-0.1257	0.34141	0.41627	-0.14793	0.19341	-0.19619	0.54504	0.13116	-0.18031	-0.017144	0.16221	0.019497	-0.0054971	-0.53695	-0.018461	0.059427	0.25346	0.09124	0.24896	0.19315	-0.10024	0.4223	-0.00095011	0.0015303	0.25853	-0.0039253	-0.19455	-0.29315	0.21296	-0.29724	-0.30101	-0.38804	0.44313	0.39754	0.23179	0.16449	-0.11112	0.44177	-0.058788	-0.045526	0.006872	0.084033	0.28548	0.04117	-0.38226	-0.036915	-0.23031	0.36104	0.091444	0.080719	0.093519	0.065898	0.003595	-0.17877	-0.21813	-0.067021	0.36166	0.37778	0.54938	0.038823	-0.16592	0.2236	0.02051	-0.34774	-0.3016	-0.071697	0.50108	0.32365	-0.1564	0.027192	-0.29491	-0.10271	0.17388	-0.017774	0.18447
presentare	0.14697	0.32598	-0.40053	-0.076651	-0.47944	0.13972	-0.24085	0.022891	0.36386	0.1906	-0.18204	0.079066	0.31834	0.035641	-0.23339	0.29256	-0.51749	0.19926	0.045447	0.30533	0.1495	0.47982	0.085468	0.3823	-0.25375	0.24849	0.044244	0.21935	-0.14307	-0.007861	0.10934	0.15656	-0.058604	-0.24587	-0.32406	-0.033037	0.1295	-0.18631	-0.45218	0.20459	-0.25654	-0.31477	-0.20964	-0.028025	0.54607	-0.13647	0.34252	0.11303	0.062006	0.10204	-0.23342	-0.080227	0.16257	0.41484	-0.035027	-0.17618	0.20515	0.044257	0.10067	-0.17336	0.39118	0.20269	0.53095	-0.17221	0.41545	-0.18888	0.054542	0.20069	-0.35319	-0.16105	-0.39482	-0.017963	0.1218	-0.23044	0.043521	-0.071205	-0.14807	0.057556	-0.1817	-0.16062	0.1778	0.11992	0.37324	0.3546	-0.062558	-0.24426	-0.34395	0.38008	0.0067425	0.40759	0.11973	0.17724	0.29818	-0.018579	-0.028008	-0.35049	0.020393	-0.061939	-0.39839	-0.043678
arrivare	0.17813	0.096176	0.13355	0.06788	-0.22117	-0.1388	-0.22453	0.35164	0.20796	0.031648	-0.20505	0.26003	0.068571	0.056611	-0.074061	0.27269	0.10262	0.14015	0.1089	0.015671	0.30011	0.2462	-0.15991	-0.17793	0.075143	-0.033163	0.17955	0.12101	-0.19502	0.25512	0.062231	0.37221	-0.0049528	-0.50599	0.06632	-0.16015	-0.28905	-0.46997	-0.17095	0.21352	-0.08598	0.19233	-0.18655	0.088148	0.21905	-0.15059	0.58464	-0.22664	-0.12874	-0.25039	-0.24406	0.27213	-0.15863	0.25061	-0.10753	-0.1286	0.038085	0.56664	-0.16668	-0.20805	0.35181	-0.056698	0.33163	-0.031508	0.20967	0.31283	-0.031949	0.43322	0.037054	0.0066844	0.022847	0.0036013	0.073896	-0.15211	0.15158	0.14815	0.38801	-0.066428	-0.11842	-0.26823	0.17592	-0.037925	0.30641	0.42129	-0.062975	-0.17991	0.060863	-0.0039441	0.04666	0.018099	-0.12628	-0.021877	0.48582	-0.20493	0.04949	-0.030305	-0.13464	0.066006	-0.14394	0.045493
sembrare	0.3041	-0.081176	-0.18058	-0.1717	-0.13529	0.078396	-0.15815	0.40895	-0.10219	0.047091	-0.20934	0.2755	-0.02659	0.070652	-0.029062	0.22428	0.20159	0.11954	-0.11619	0.011415	0.28345	0.2124	-0.11734	0.093774	-0.19882	0.031992	0.352	-0.18122	-0.082412	0.22312	-0.014538	0.21905	-0.17117	-0.20268	0.057569	-0.20603	-0.063866	0.15904	-0.45716	-0.046763	-0.041025	0.42277	-0.1694	0.13045	-0.0097706	-0.12929	0.2922	0.023072	0.065853	-0.0039814	-0.24082	-0.058799	-0.4818	0.26761	-0.0099992	-0.40915	-0.066099	0.16939	0.14794	0.098079	0.33971	0.15697	0.20707	0.22807	0.32228	0.14215	-0.032764	0.3771	-0.051863	0.10347	0.054183	-0.37388	0.10514	-0.1213	0.061598	0.0058186	0.32067	-0.023287	-0.066035	-0.21421	0.051946	0.22249	0.016463	-0.11223	0.072131	-0.2818	0.16827	0.16277	-0.06236	-0.053108	0.02227	-0.27846	0.36352	-0.25603	-0.2173	-0.086832	-0.02958	0.13627	-0.084567	0.14985
tenere	0.13668	0.39481	-0.23238	0.041829	-0.073533	-0.045997	-0.11598	0.09359	0.24342	0.12867	-0.10102	0.025214	0.25462	0.082723	-0.078692	0.5334	-0.15973	0.055864	0.26164	0.12244	-0.23733	0.64528	0.19713	-0.40312	-0.49033	0.13168	-0.02023	-0.042817	-0.15852	0.10165	0.14883	-0.046143	-0.039798	-0.18484	-0.31844	0.024893	0.11109	-0.22717	-0.15391	0.36333	-0.19841	0.029785	-0.31333	0.1522	0.58518	-0.35976	0.30332	-0.22374	0.29326	0.19939	-0.18161	0.038392	-0.319	0.42805	0.31656	-0.24191	-0.17756	0.084171	0.14309	0.26259	0.39198	0.053781	0.28	-0.22656	0.29811	0.030064	-0.29302	0.31855	-0.3002	-0.40699	-0.016125	-0.10581	-0.09229	0.16774	0.19975	0.44348	-0.1737	-0.040586	0.09315	-0.18038	0.2691	-0.18354	0.0015642	0.26146	0.072212	0.22202	0.14492	0.38695	-0.40926	-0.24325	-0.11456	-0.22559	-0.13951	0.018831	-0.20401	-0.32791	0.11851	0.10759	-0.38396	-0.1542
riuscire	0.33103	-0.068658	0.22001	-0.013494	-0.067909	-0.21581	-0.23612	0.60343	0.27676	0.1022	-0.4365	0.093114	-0.34235	-0.13453	0.16741	-0.05377	0.348	-0.20767	0.29241	-0.26517	0.38778	0.24535	-0.14891	0.093818	-0.14312	0.016553	0.21317	0.10308	-0.27765	0.088391	0.15503	-0.067369	-0.077194	-0.14503	0.14661	-0.060023	0.054575	-0.030073	-0.25835	0.095234	-0.12939	0.35463	-0.1552	0.26121	0.21816	-0.13465	0.13355	-0.0727	-0.029943	0.1677	-0.13116	0.31265	-0.42042	0.21246	-0.21712	-0.37701	-0.31727	0.50985	0.014602	0.10434	0.29694	-0.056132	0.13563	0.17744	-0.019106	0.22458	-0.32703	0.55275	-0.39128	-0.16601	-0.19736	-0.27458	-0.078799	0.15017	0.28457	0.096598	0.33522	-0.11995	-0.20578	-0.096793	-0.14425	0.10027	0.10688	0.053919	0.073469	0.011759	-0.11586	0.12899	0.059014	-0.11207	0.19431	-0.076798	0.4154	-0.046901	-0.25226	-0.076573	-0.14844	0.34884	0.34302	0.031729
sentire	0.18536	0.084443	-0.46927	0.038305	0.27081	-0.090857	-0.24867	0.24473	0.11998	0.069214	-0.04755	0.30448	-0.082706	0.087277	-0.034991	-0.067154	0.00496	0.037203	0.32983	-0.2351	0.41486	0.25585	-0.3271	-0.35547	-0.19673	0.0059098	0.36475	-0.049304	-0.0058474	0.12494	0.053542	0.39243	0.097373	0.0075787	-0.4544	-0.16187	0.06832	-0.079816	-0.71642	0.1981	-0.1605	0.41704	-0.14899	0.36148	0.2993	-0.28871	0.18463	0.097592	0.24348	0.15622	-0.017611	0.12591	-0.29934	-0.0074915	0.2163	-0.09931	-0.21043	0.47879	0.14363	0.36643	0.46729	0.06231	0.0044151	0.44238	0.21327	0.30316	0.19777	0.40939	-0.008409	0.19467	-0.13216	-0.25164	0.17719	0.081205	-0.21459	-0.13528	0.43297	-0.13386	-0.10138	-0.33366	0.29453	-0.096457	0.080461	0.13002	0.056988	-0.35253	0.30494	0.22456	-0.53515	-0.14813	0.16096	-0.031939	0.24004	0.1195	-0.08469	-0.28683	0.1559	0.10827	0.22655	-0.22492
credere	0.24279	0.10815	-0.1353	0.071639	0.077813	0.079746	-0.22032	0.44078	-0.011109	0.068193	-0.001033	0.31286	-0.050635	0.0013797	-0.06262	0.22985	0.20724	-0.18997	0.046115	-0.19166	0.11921	0.16563	-0.3091	0.11983	0.020328	-0.074718	0.50678	-0.026461	-0.056015	0.37622	0.033816	0.077709	-0.13894	-0.10399	-0.12523	0.056199	-0.042964	0.025321	-0.41633	0.080129	-0.020438	0.18963	0.14455	0.36236	0.13288	-0.23941	0.25255	0.095955	-0.0030319	0.16581	-0.077748	0.089359	-0.63432	0.20854	-0.12273	-0.42447	-0.24495	0.44625	0.30638	0.21338	0.55551	-0.014827	0.025632	0.35427	0.40718	-0.078827	0.184	0.25289	0.10664	-0.15859	0.2602	-0.45278	0.00060124	0.043253	0.29307	-0.2308	0.19547	-0.2095	0.090326	-0.022945	0.023927	0.18039	0.17748	-0.014121	0.18812	-0.22029	0.05439	-0.036529	-0.24258	-0.077075	-0.033353	-0.13145	0.42083	-0.034197	-0.19356	-0.12109	0.042065	0.059687	0.12067	0.1057
